"meta:instanceID","StartTime","Device","previos:entrevistador","previos:regiao","idade:idade","social:sexo","social:renda","social:escolaridade","social:cor","social:religiao","frases:frases1","frases:frases2","frases:frases3","frases:frases4","frases:frases5","frases:frases6","frases:frases7","frases:frases8","frases:frases9","frases:frases10","frases:frases11","frases:frases12","frases:frases13","frases:frases14","frases:frases15","frases:frases16","frases:frases17","frases:frases18","frases:frases19","frases:frases20","frases:frases21","informacoes:informacao1","informacoes:informacao2","informacoes:informacao3","informacoes:informacao4","informacoes:manifestacao1","informacoes:manifestacao2","informacoes:manifestacao3","informacoes:manifestacao4","informacoes:esquerda1","informacoes:esquerda2","informacoes:conservador"
"uuid:0188d4f6-ddfb-4cd5-ad3c-4ce3ddebafc6","Sat Oct 22 18:11:23 UTC 2016","ac:d0:74:1b:e0:91","Hudsom","sul 2","19","Feminino","até R$ 1.760","médio completo","amarela","evangélica não pentecostal","não concorda","não concorda","não concorda","concorda","concorda","não concorda","concorda","não concorda","concorda","concorda","concorda","concorda","não concorda","não concorda","concorda","não concorda","concorda","não concorda","não concorda","não concorda","não concorda","pouco","pouco","nada","nada","não","não","não","não","não sei",,"muito conservador(a)"
"uuid:bd633500-9d9d-4e2c-b5bb-8e025f765c7c","Sat Oct 22 18:16:18 UTC 2016","ac:d0:74:1b:e0:91","Hudson","sul 2","17","Masculino","de R$ 1.760 a R$ 2.640","médio incompleto","parda","nenhuma","concorda","concorda","não concorda","concorda","concorda","não concorda","concorda","não concorda","concorda","não concorda","concorda","concorda","concorda","não concorda","não concorda","concorda","concorda","não concorda","não concorda","concorda","concorda","nada","nada","nada","nada","não","não","não","não","não sei",,"muito conservador(a)"
"uuid:604562c7-3927-4fe6-81a9-6bd018d4e0fd","Sat Oct 22 18:23:03 UTC 2016","ac:d0:74:1b:e0:91","Hudspn","sul 2","31","Feminino","de R$ 1.760 a R$ 2.640","superior incompleto","parda","evangélica pentecostal","concorda","não concorda","não concorda","concorda","concorda","não sei","concorda","não concorda","não concorda","concorda","concorda","concorda","concorda","concorda","concorda","não concorda","concorda","não concorda","concorda","concorda","concorda","pouco","pouco","pouco","muito","não","não","não","não","não sei",,"muito conservador(a)"
"uuid:02c29585-f4e3-486d-9613-08257d005a75","Sat Oct 22 18:27:55 UTC 2016","ac:d0:74:1b:e0:91","Hufson","sul 2","39","Feminino","até R$ 1.760","médio incompleto","parda","católica","não concorda","concorda","não sei","concorda","concorda","concorda","concorda","não sei","não concorda","concorda","concorda","concorda","não concorda","concorda","concorda","não sei","concorda","não concorda","não concorda","não concorda","não sei","nada","nada","pouco","nada","não","não","não","não","não sei",,"muito conservador(a)"
"uuid:17dd17b0-ffdd-48f6-bfcd-2d1312598bce","Sat Oct 22 18:35:01 UTC 2016","ac:d0:74:1b:e0:91","Hudson","sul 2","47","Feminino","até R$ 1.760","médio completo","parda","nenhuma","não concorda","não concorda","não concorda","concorda","concorda","concorda","concorda","concorda","concorda","não concorda","concorda","não concorda","não concorda","não concorda","concorda","não concorda","concorda","não concorda","não concorda","concorda","concorda","muito","nada","muito","muito","sim","não","sim","sim","de esquerda",,"um pouco conservador(a)"
"uuid:c4e2b4fb-b121-4732-a7d8-f5c3c4a838e5","Sat Oct 22 18:41:46 UTC 2016","ac:d0:74:1b:e0:91","Hudsom","sul 2","36","Masculino","até R$ 1.760","fundamental incompleto","branca","católica","não concorda","não concorda","não concorda","concorda","concorda","não concorda","concorda","não concorda","concorda","não concorda","concorda","concorda","não concorda","concorda","concorda","concorda","não concorda","não concorda","não concorda","não sei","não concorda","nada","nada","nada","pouco","não","não","não","não","não sei",,"um pouco conservador(a)"
"uuid:7bc1903b-1761-49e4-b62a-0e099932a4c6","Sat Oct 22 18:46:27 UTC 2016","ac:d0:74:1b:e0:91","Hudson","sul 2","26","Feminino","de R$ 1.760 a R$ 2.640","superior completo","preta","outra","concorda","concorda","concorda","concorda","concorda","não sei","concorda",,"não concorda",,"concorda","concorda","não concorda",,"concorda",,"concorda","não concorda","concorda","concorda","concorda","nada","nada","nada","nada","não","não","não","não","nada disso",,"muito conservador(a)"
"uuid:5a115cb8-b864-4d26-bc32-f34078c576e4","Sat Oct 22 18:52:56 UTC 2016","ac:d0:74:1b:e0:91","Hudson","sul 2","47","Feminino","de R$ 1.760 a R$ 2.640","fundamental completo","preta","outra","concorda","concorda","concorda","não concorda","concorda",,"concorda",,"não concorda",,"concorda","concorda","não concorda",,"concorda","concorda","concorda","não concorda","concorda","concorda","concorda","nada","nada","nada","nada","não","não","não","não","nada disso",,"muito conservador(a)"
"uuid:713e6be0-5220-476a-ac57-59ad66beab9f","Sat Oct 22 18:56:08 UTC 2016","ac:d0:74:1b:e0:91","Hudson","sul 2","57","Masculino","de R$ 4.400 a R$ 8.800","fundamental incompleto","parda","evangélica pentecostal","não concorda","concorda","concorda","concorda","concorda","concorda","concorda","concorda","não concorda","não concorda","concorda","concorda","não concorda","não concorda","concorda","concorda","concorda","não concorda","não concorda","concorda","não concorda","nada","pouco","pouco","nada","não","não","não","não","não sei",,"muito conservador(a)"
"uuid:1fbb3003-200f-4a56-ae40-30a3fec7a3cf","Sat Oct 22 19:01:49 UTC 2016","ac:d0:74:1b:e0:91","Hudson","sul 2","25","Feminino","até R$ 1.760","médio completo","parda","evangélica pentecostal",,"concorda","concorda","concorda","não concorda","concorda","concorda","não concorda","concorda","concorda","concorda","concorda",,"não concorda","concorda","concorda","concorda","não concorda","não concorda","não concorda","concorda","pouco","nada","nada","muito","não","não","não","não","não sei",,"um pouco conservador(a)"
"uuid:45c11bfc-2546-4896-bc3c-bcfac7a9c2ac","Sat Oct 22 19:06:59 UTC 2016","ac:d0:74:1b:e0:91","Hudson","sul 2","20","Feminino","até R$ 1.760","superior incompleto","branca","evangélica pentecostal","concorda","concorda","não concorda","não concorda","não concorda","não concorda","não sei","não sei","não concorda","não concorda","concorda","concorda",,"não concorda","concorda","concorda","concorda","não concorda","não concorda","concorda","não concorda","pouco","pouco","pouco","nada","não","não","não","não","não sei",,"muito conservador(a)"
"uuid:7881c6c9-13d1-40b5-91b6-869e29addb63","Sat Oct 22 19:16:20 UTC 2016","ac:d0:74:1b:e0:91","Hudson","sul 2","35","Feminino","até R$ 1.760","superior incompleto","parda","evangélica pentecostal","concorda","concorda","não concorda","concorda","concorda","não concorda","concorda","não concorda","concorda","não concorda","concorda",,"concorda","concorda","concorda","concorda","concorda","não concorda","concorda","não concorda","não concorda","pouco","pouco","pouco","muito","não","não","não","não","nada disso",,"um pouco conservador(a)"
