Timestamp,Entrevistador,Número do questionário,Horário,Região,1. Idade,2. Sexo,3. Renda familiar,4. Escolaridade,5. Cor,6. Você confia na imprensa?,7. Você confia nos partidos políticos?,Partidos: [8. PT],Partidos: [9. PSDB],Partidos: [10. PMDB],Partidos: [11. Rede],Partidos: [12. PSOL],Partidos: [13. PSTU],14. Você confia nas ONGS?,15. Você confia nos movimentos sociais?,Movimentos: [16. Movimento Brasil Livre],Movimentos: [17. Estudantes secundaristas],Movimentos: [18. MPL],Movimentos: [19. MST],Movimentos: [20. MTST],Movimentos: [21. Vem pra Rua],Movimentos: [22. Revoltados Online],23. Você confia nos políticos?,24. Você votou nas últimas eleições para Presidente?,25. Em quem votou?,26. Você é a favor do Impeachment da presidenta Dilma Rousseff?,27. Você foi em alguma manifestação a favor do Impeachment?,28. Você foi em alguma manifestação contrária ao Impeachment?,"29. Você foi em alguma manifestação pedindo o ""fora todos""?",30. Você se informa sobre política no Twitter?,31. Você se informa sobre política no Whatsapp?,32. Você se informa sobre política no Facebook?,33. Não há grande diferença entre governos de esquerda e de direita.,34. O PT é um partido corrupto.,"35. Conquistas do governo do PT como o Bolsa Família, o FIES e o Minha Casa, Minha Vida melhoraram a vida dos brasileiros",36. Os movimentos sociais deveriam ser independentes dos partidos políticos
5/20/2016 12:55:38,leonardo,16,6:45:00 PM,meio masp,19,Masculino,de R$ 1.760 a R$ 2.640,ensino superior incompleto,preta,confia pouco,não confia,confia pouco,confia pouco,não confia,não confia,confia pouco,não confia,confia pouco,confia pouco,confia pouco,confia muito,confia pouco,confia muito,confia pouco,não confia,não conhece,confia pouco,sim,,não,não,não,não,nada,pouco,pouco,não sei,concordo em parte,concordo totalmente,concordo totalmente
5/20/2016 12:57:24,leonardo simioni,17,6:55:00 PM,meio masp,24,Feminino,"até R$ 1.760,00",ensino superior incompleto,parda,não confia,confia pouco,não confia,não confia,não confia,não confia,não confia,não confia,confia muito,confia pouco,não confia,confia muito,confia pouco,confia pouco,confia pouco,não confia,não confia,confia pouco,sim,Dilma,não,não,não,não,pouco,muito,muito,concordo em parte,concordo totalmente,concordo totalmente,concordo totalmente
5/20/2016 12:59:09,leonardo simioni,18,7:03:00 PM,meio masp,36,Feminino,de R$ 1.760 a R$ 2.640,ensino superior completo,branca,confia pouco,confia pouco,confia pouco,não confia,não confia,confia pouco,confia pouco,confia pouco,confia pouco,confia pouco,não confia,confia pouco,confia pouco,confia pouco,confia pouco,não confia,não conhece,confia pouco,sim,Dilma,não,não,sim,não sei,muito,pouco,muito,não concordo,concordo em parte,concordo totalmente,concordo totalmente
5/20/2016 12:59:27,Alan Ferreira Silva,12,5:27:00 PM,EE Fernão Dias,36,Masculino,de R$ 4.400 a R$ 8.800,ensino superior completo,branca,confia pouco,não confia,não confia,não confia,não confia,não confia,não confia,confia pouco,confia pouco,confia pouco,não confia,confia muito,confia muito,confia pouco,confia pouco,não confia,não confia,não confia,sim,Nulo,não sei,não,não,sim,nada,nada,muito,concordo totalmente,concordo totalmente,concordo em parte,concordo totalmente
5/20/2016 13:02:25,Alan Ferreira Silva,13,5:33:00 PM,EE  Anhanguera,20,Masculino,de R$ 1.760 a R$ 2.640,ensino médio incompleto,branca,confia pouco,confia pouco,confia pouco,não confia,não confia,não confia,não confia,não confia,confia pouco,confia muito,não confia,confia muito,confia pouco,confia pouco,confia pouco,não confia,não confia,não confia,não,,não,não,sim,não,nada,nada,pouco,concordo em parte,concordo em parte,concordo totalmente,não concordo
5/20/2016 13:05:43,Alan Ferreira Silva,14,5:39:00 PM,EE Plínio Santo Amaro,22,Masculino,,ensino médio incompleto,parda,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,,confia pouco,não confia,não confia,não confia,confia pouco,confia muito,não confia,não conhece,não confia,não,,não,não,não,não,nada,nada,pouco,concordo totalmente,concordo em parte,não concordo,concordo totalmente
5/20/2016 13:08:55,Alan Ferreira Silva,15,5:38:00 PM,III,32,Masculino,"até R$ 1.760,00",ensino médio incompleto,parda,não confia,confia pouco,confia muito,não confia,não confia,não conhece,não confia,não confia,confia muito,confia muito,não conhece,confia muito,não conhece,confia muito,confia muito,não conhece,não confia,não confia,não,,não,não,não,não,nada,nada,nada,não concordo,não concordo,concordo totalmente,concordo totalmente
5/20/2016 13:11:47,Alan Ferreira Silva,16,5:43:00 PM,Centro Paula Souza,17,Feminino,de R$ 2.640 a R$ 4.400,ensino médio incompleto,branca,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,confia pouco,confia muito,confia muito,confia muito,confia muito,confia muito,confia muito,confia muito,não conhece,não confia,não,,não,não,sim,não,nada,muito,muito,não concordo,concordo em parte,concordo em parte,concordo totalmente
5/20/2016 13:14:14,Alan Ferreira Silva,17,5:50:00 PM,III,50,Masculino,de R$ 4.400 a R$ 8.800,ensino superior completo,branca,não confia,confia pouco,confia pouco,não confia,não confia,confia pouco,confia muito,confia pouco,confia pouco,confia muito,não confia,confia muito,confia muito,confia muito,confia muito,não confia,não confia,confia pouco,sim,Dilma,não,não,sim,não,nada,pouco,muito,não concordo,não concordo,concordo totalmente,concordo totalmente
5/20/2016 13:17:58,Alan Ferreira Silva,18,5:56:00 PM,III,45,Feminino,,ensino superior completo,branca,confia pouco,confia pouco,não confia,não confia,não conhece,não conhece,não conhece,não conhece,confia pouco,confia muito,não conhece,confia muito,não conhece,confia muito,confia muito,não conhece,não conhece,não confia,não,,não,não,sim,não,muito,muito,muito,não concordo,concordo totalmente,concordo totalmente,concordo totalmente
